INSPECTION_ID,PROPERTY_ID,PROPERTY_NAME,ADDRESS,CITY,CBSA_NAME,CBSA_CODE,COUNTY_NAME,COUNTY_CODE,STATE_NAME,STATE_CODE,ZIP,LATITUDE,LONGITUDE,LOCATION_QUALITY,INSPECTION_SCORE,INSPECTION_DATE
568234,800021340,Sherwood Apts,801 Greenbriar Dr,Edinburg,"McAllen-Edinburg-Mission, TX Metropolitan Statistical Area",32580,Hidalgo,215,TX,48,78539,26.290279,-98.172314,R,93,6/9/2016
568312,800045842,COOPER GLEN APARTMENTS,3232 N Locust St,Denton,"Dallas-Plano-Irving, TX Metropolitan Division",19124,Denton,121,TX,48,76207,33.245835,-97.131633,R,65,6/22/2016
569521,800020849,LEGACY POINTE APTS,238 S Barnes Dr,Garland,"Dallas-Plano-Irving, TX Metropolitan Division",19124,Dallas,113,TX,48,75042,32.912825,-96.679064,R,82,5/18/2016
569522,800024184,HIGH POINTE VILLAGE,139 S Clark Rd,Cedar Hill,"Dallas-Plano-Irving, TX Metropolitan Division",19124,Dallas,113,TX,48,75104,32.587817,-96.942749,R,46,5/4/2016
569527,800112210,PAGE PLACE I,1907 Page Rd,Longview,"Longview, TX Metropolitan Statistical Area",30980,Gregg,183,TX,48,75601,32.517838,-94.704412,R,99,5/11/2016
569531,800020866,ENNIS SENIOR CITIZENS CENTER II,501 W Lampasas St,Ennis,"Dallas-Plano-Irving, TX Metropolitan Division",19124,Ellis,139,TX,48,75119,32.321863,-96.628085,R,84,5/5/2016
569532,800020808,CLAYTON'S MARK APTS,504 SW 23rd St,Grand Prairie,"Fort Worth-Arlington, TX Metropolitan Division",23104,Tarrant,439,TX,48,75051,32.736988,-97.035853,R,86,5/31/2016
569538,800021144,NORTHVIEW APTS. PHASE II,331 N Longview St,Kilgore,"Longview, TX Metropolitan Statistical Area",30980,Gregg,183,TX,48,75662,32.389402,-94.87579,R,65,5/9/2016
569541,800020785,COLONIA TEPEYAC APTS.,5880 Bernal Dr,Dallas,"Dallas-Plano-Irving, TX Metropolitan Division",19124,Dallas,113,TX,48,75212,32.770563,-96.914438,R,91,5/19/2016
569542,800021541,WILLOW TREE,1802 Robinson Rd,Grand Prairie,"Dallas-Plano-Irving, TX Metropolitan Division",19124,Dallas,113,TX,48,75051,32.720524,-97.019835,R,90,5/24/2016
569548,800020686,BELAIRE MANOR OF MARSHALL,1400 Julie St,Marshall,"Marshall, TX Micropolitan Statistical Area",32220,Harrison,203,TX,48,75670,32.546654,-94.3806,R,81,5/10/2016
569552,800021193,PARK GROVE VILLAGE,2920 W Shady Grove Rd,Irving,"Dallas-Plano-Irving, TX Metropolitan Division",19124,Dallas,113,TX,48,75060,32.802099,-96.986359,R,95,5/26/2016
569553,800024179,SPRING CREEK (OLE TOWN),RR 1 Box 809,Linden,,99999,Cass,067,TX,48,75563,33.029,-94.384,B,86,5/12/2016
569555,800021537,WILLIAM BOOTH GARDEN APTS.,601 Golden Rd,Tyler,"Tyler, TX Metropolitan Statistical Area",46340,Smith,423,TX,48,75701,32.345304,-95.27243,R,75,5/6/2016
569561,800021428,"PARKS AT WYNNEWOOD APTS, THE",1910 Argentia Dr,Dallas,"Dallas-Plano-Irving, TX Metropolitan Division",19124,Dallas,113,TX,48,75224,32.724502,-96.829309,R,71,5/24/2016
569562,800021195,PARK MANOR-IRVING,2934 W Pioneer Dr,Irving,"Dallas-Plano-Irving, TX Metropolitan Division",19124,Dallas,113,TX,48,75061,32.828532,-96.985727,R,82,5/25/2016
569563,800020670,PEGUES PLACE,801 Pegues Pl,Longview,"Longview, TX Metropolitan Statistical Area",30980,Gregg,183,TX,48,75601,32.514329,-94.729176,R,89,5/9/2016
