STATE,COUNTY,RISK_VALUE,RISK_SCORE,RISK_RATNG,SOVI_SCORE,SOVI_RATNG,RESL_SCORE,RESL_RATNG,RESL_SPCTL,RESL_VALUE,CRF_VALUE
Texas,Somervell,3653545.282,30.41679924,Very Low,54.81000137,Relatively Moderate,76.98999786,Relatively High,0.9881889764,2.700742006,1.137885412
Texas,Starr,23882580.57,82.81896277,Relatively Moderate,98.59999847,Very High,0.3199999928,Very Low,0.0157480315,2.136900902,1.96156965
Texas,Stephens,2822615.91,21.73083042,Very Low,95.88999939,Very High,10.47000027,Very Low,0.2677165354,2.420799971,1.483762503
Texas,Sterling,1027208.614,5.504295259,Very Low,25.11000061,Relatively Low,18.39999962,Very Low,0.3897637795,2.464669943,1.06782186
Texas,Stonewall,1537874.596,9.576837416,Very Low,49.61999893,Relatively Moderate,40.41999817,Relatively Moderate,0.7244094488,2.558975935,1.305868864
Texas,Sutton,4727004.693,39.93000318,Very Low,74.94999695,Relatively High,7.889999866,Very Low,0.2165354331,2.400641918,1.659550309
Texas,Swisher,7640018.705,56.95195673,Relatively Low,97.95999908,Very High,7.670000076,Very Low,0.2086614173,2.397676945,1.474504437
Texas,Tarrant,325819213.6,98.82278078,Relatively High,74.76000214,Relatively High,26.31999969,Relatively Low,0.5,2.50138092,1.191938731
Texas,Taylor,25895420.47,84.12344893,Relatively Moderate,76.95999908,Relatively High,59.13000107,Relatively Moderate,0.9173228346,2.633577108,1.178539834
Texas,Terrell,355673.3766,0.8908685969,Very Low,16.20000076,Very Low,5.21999979,Very Low,0.1771653543,2.371615887,1.008838773
Texas,Terry,5506441.212,45.40248171,Very Low,98.69999695,Very High,8.180000305,Very Low,0.2244094488,2.402403116,1.532447794
Texas,Throckmorton,1172325.863,6.363347121,Very Low,40.20000076,Relatively Moderate,42.74000168,Relatively Moderate,0.7637795276,2.568156004,1.157464385
Texas,Titus,11357055.98,68.31053134,Relatively Low,87.23999786,Very High,21.06999969,Relatively Low,0.437007874,2.479171991,1.499680373
Texas,Tom Green,18803846.38,78.71460388,Relatively Low,82.62000275,Very High,62.47999954,Relatively High,0.9330708661,2.647304058,1.21176778
Texas,Travis,158145337.9,96.88195991,Relatively High,57.79999924,Relatively Moderate,56.75,Relatively Moderate,0.9015748031,2.622800112,1.081842987
Texas,Trinity,6358686.002,50.36589246,Relatively Low,91.98000336,Very High,7.639999866,Very Low,0.2047244094,2.397420883,1.501672372
Texas,Tyler,13980865.21,73.08304168,Relatively Low,91.30999756,Very High,8.5,Very Low,0.2283464567,2.404591084,1.402023013
Texas,Upshur,12204227.07,70.5058861,Relatively Low,69.31999969,Relatively High,32.43000031,Relatively Low,0.6141732283,2.526762009,1.284401772
Texas,Upton,1494477.701,8.845052498,Very Low,50.09999847,Relatively Moderate,11.61999989,Very Low,0.2913385827,2.427301884,1.266306581
Texas,Uvalde,12449633.84,70.85587019,Relatively Low,98.84999847,Very High,9.680000305,Very Low,0.2519685039,2.414911032,1.573305609
Texas,Val Verde,19532838.34,79.60547248,Relatively Low,98.66000366,Very High,5.159999847,Very Low,0.1692913386,2.371476889,1.539569894
Texas,Van Zandt,10128807.47,64.68342348,Relatively Low,57.91999817,Relatively Moderate,27.39999962,Relatively Low,0.5196850394,2.507085085,1.258850134
Texas,Victoria,56038378.65,91.95036589,Relatively Moderate,88.83000183,Very High,47.13999939,Relatively Moderate,0.8267716535,2.587435007,1.396017991
Texas,Walker,20615391.08,80.49634108,Relatively Low,84.12000275,Very High,19.29000092,Very Low,0.4094488189,2.469739914,1.324808126
Texas,Waller,19856392.47,79.76455616,Relatively Low,85.26000214,Very High,36.88999939,Relatively Low,0.6811023622,2.545260906,1.283162065
Texas,Ward,1535444.982,9.48138721,Very Low,73.13999939,Relatively High,9.130000114,Very Low,0.2440944882,2.410341024,1.451706075
Texas,Washington,13737026.02,72.76487432,Relatively Low,76.19000244,Relatively High,56.72000122,Relatively Moderate,0.8976377953,2.622776985,1.29570942
Texas,Webb,14072832.51,73.27394209,Relatively Low,97.70999908,Very High,2.859999895,Very Low,0.09448818898,2.331525087,1.667774162
Texas,Wharton,44313343.64,89.88227808,Relatively Moderate,95.09999847,Very High,44.52999878,Relatively Moderate,0.7795275591,2.574551105,1.526994219
